incident_id,inc_descrip,route,direction,Marker,number,inc_start,inc_duration,lanecount,blkDuration,respTime,rural
167165,Multivehicle Crash,I-75,Southbound,Milepost,81,7/1/2017 1:28,64,1,55,4,Rural
167167,Multivehicle Crash,I-40,Westbound,Milepost,381,7/1/2017 3:53,102,1,7,5,Urban
167213,Multivehicle Crash,I-40,Eastbound,Milepost,395,7/1/2017 16:57,7,0,0,0,Urban
167216,Multivehicle Crash,I-40,Eastbound,Milepost,383,7/1/2017 17:39,3,0,0,N/A,Urban
167221,Multivehicle Crash,I-81,Northbound,Milepost,27,7/1/2017 18:42,100,1,99,N/A,Rural
167223,Single Vehicle Crash,I-40,Eastbound,Milepost,375,7/1/2017 18:58,85,0,0,0,Urban
167278,Multivehicle Crash,I-40,Eastbound,Milepost,393,7/2/2017 19:14,45,0,0,1,Urban
167279,Single Vehicle Crash,I-40,Eastbound,Milepost,422,7/3/2017 0:28,252,1,251,1,Rural
167297,Single Vehicle Crash,I-40,Westbound,Milepost,360,7/3/2017 8:01,77,1,71,2,Rural
167301,Single Vehicle Crash,I-75,Southbound,Milepost,151,7/3/2017 8:48,124,2,100,2,Rural
167313,Multivehicle Crash,I-75,Northbound,Milepost,159,7/3/2017 12:05,15,1,12,N/A,Rural
167338,Multivehicle Crash,I-75,Northbound,Milepost,116,7/3/2017 16:04,62,0,0,15,Urban
167385,Single Vehicle Crash,I-40,Eastbound,Milepost,368,7/4/2017 16:03,21,0,0,0,Rural
167388,Single Vehicle Crash,I-40,Westbound,Milepost,395,7/4/2017 16:44,63,1,17,3,Urban
167391,Overturned Vehicle,I-640,Eastbound,Milepost,0,7/4/2017 17:21,79,3,75,0,Urban
167393,Multivehicle Crash,I-40,Eastbound,Milepost,384,7/4/2017 17:54,59,2,29,2,Urban
167402,Multivehicle Crash,I-40,Westbound,Milepost,384,7/4/2017 22:02,42,2,17,7,Urban
167403,Overturned Vehicle,I-40,Eastbound,Milepost,416,7/5/2017 0:35,96,3,58,N/A,Rural
167424,Multivehicle Crash,I-40,Westbound,Milepost,383,7/5/2017 9:50,13,0,0,0,Urban
167439,Multivehicle Crash,I-75,Southbound,Milepost,108,7/5/2017 12:25,54,1,13,2,Urban
167452,Multivehicle Crash,I-75,Northbound,Milepost,112,7/5/2017 13:38,3,0,0,0,Urban
167460,Vehicle Fire,I-40,Westbound,Milepost,398,7/5/2017 15:02,68,1,36,8,Urban
167464,Single Vehicle Crash,I-640,Westbound,Milepost,2,7/5/2017 15:28,3,0,0,2,Urban
167472,Multivehicle Crash,I-640,Eastbound,Milepost,6,7/5/2017 17:05,15,0,0,7,Urban
167475,Single Vehicle Crash,I-40,Westbound,Milepost,379,7/5/2017 17:46,46,0,0,0,Urban
167492,Single Vehicle Crash,I-40,Eastbound,Milepost,383,7/6/2017 4:17,41,0,0,14,Urban
